title,price,link,category,storage,average_price,median_price
iPhone 11,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=372311512,Regular,Unknown,2029.98,2000.00
iPhone 12 grønn 128gb,2400,https://www.finn.no/bap/forsale/ad.html?finnkode=372248892,Regular,128GB,2975.00,2350.00
iPhone 11 Helt ny skjerm!,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=372231297,Regular,Unknown,2029.98,2000.00
Pent bruk iPhone 11 128GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372224241,Regular,128GB,2000.00,2000.00
iPhone 11 i lilla 64gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372229341,Regular,64GB,1890.70,1950.00
iPhone 12,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372180758,Regular,Unknown,2613.59,2500.00
iPhone 12 64GB,2190,https://www.finn.no/bap/forsale/ad.html?finnkode=372200637,Regular,64GB,2477.22,2500.00
Brukt iPhone 11 128 GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372171551,Regular,128GB,6844.45,7500.00
iPhone 11,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=372124851,Regular,Unknown,2029.98,2000.00
iPhone 12 (Lilla),2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372115024,Regular,Unknown,2613.59,2500.00
iPhone 14pluss,560,https://www.finn.no/bap/forsale/ad.html?finnkode=362582882,Regular,Unknown,560.00,560.00
iPhone 11,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372042813,Regular,Unknown,2029.98,2000.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371979644,Regular,Unknown,2029.98,2000.00
iPhone 11Pro 64GB gull,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=361377135,Pro,64GB,2500.00,2500.00
iPhone 12 deler,500,https://www.finn.no/bap/forsale/ad.html?finnkode=371962102,Regular,Unknown,2613.59,2500.00
iPhone 11 64GB,1800,https://www.finn.no/bap/forsale/ad.html?finnkode=371923129,Regular,64GB,1890.70,1950.00
iPhone 12 64GB mørke blå,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371903496,Regular,64GB,2477.22,2500.00
iPhone 11pro,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=371899762,Pro,Unknown,2366.67,2300.00
iPhone 11,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=371881746,Regular,Unknown,2029.98,2000.00
iPhone 12,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371892073,Regular,Unknown,2613.59,2500.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371834432,Regular,Unknown,2029.98,2000.00
iPhone 11 hvit,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371793629,Regular,Unknown,2029.98,2000.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371739247,Regular,Unknown,2029.98,2000.00
Svart iPhone 11 128GB,1900,https://www.finn.no/bap/forsale/ad.html?finnkode=371600848,Regular,128GB,6844.45,7500.00
iPhone 11 fra 2021,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=321672081,Regular,Unknown,2029.98,2000.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=371574369,Regular,Unknown,2029.98,2000.00
