title,price,link,category,storage
iPhone 13,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373009470,Regular,Unknown
iPhone 11 - 128 gb lagrings plass,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372967639,Regular,128GB
iPhone 11,1 700 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372898123,Regular,Unknown
iPhone 11 Pro Max 256gb,1 800 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371286127,Pro Max,256GB
iPhone 11 pro Max 256 GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372921499,Regular,256GB
iPhone 11 Pro - Midnattsgrønn,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372854117,Pro,Unknown
iPhone 11 Pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372764044,Pro,Unknown
iPhone 12 med AirPods 1 gen,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=156018125,Regular,Unknown
iPhone 15 Pro max mobildeksler 10 stk,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372654253,Pro,Unknown
iPhone 12 Pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372617941,Pro,Unknown
iPhone 11 pro Max,1 799 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372613307,Regular,Unknown
iPhone 11 128 GB sort selges komplett i god stand! :),2 295 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372613430,Regular,128GB
iPhone 11 til salgs - med deksel - kortholder og ladekabler,1 800 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372586176,Regular,Unknown
iPhone 11,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372548512,Regular,Unknown
iPhone 11 64GB (Black),2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372537314,Regular,64GB
iPhone 11 pro 64GB,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372534348,Regular,64GB
iPhone 12,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372480046,Regular,Unknown
iPhone 11 (rød) til salgs – Ubrukte deler eller reparasjon,900 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372494803,Regular,Unknown
iPhone 11 pro,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=364945592,Regular,Unknown
iPhone 11 Pro - 256GB - Midnight grey,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372481886,Pro,256GB
iPhone 11 64 GB sort,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372480759,Regular,64GB
iPhone 11 64GB,1 750 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372459166,Regular,64GB
iPhone 11 128GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372425642,Regular,128GB
iPhone 11 mint 128gb,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372395657,Regular,128GB
iPhone 11 pro Max 64 GB   Baterikapasitet 82%,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372373895,Regular,64GB
iPhone 11 64GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372363525,Regular,64GB
iPhone 11 Pro,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372351586,Pro,Unknown
iPhone 11 pro Max 64GB,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372333471,Regular,64GB
iPhone 14 Pro Boks,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372337392,Pro,Unknown
iPhone 11,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372317095,Regular,Unknown
iPhone 11,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372311512,Regular,Unknown
Brukt beskyttelse til iPhone 15 Pro Max og iPhone 11 Pro Max – Som nye!,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372250019,Pro Max,Unknown
iPhone 12 grønn 128gb,2 400 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372248892,Regular,128GB
iPhone 12 mini 128 GB med 2 deksler,2 499 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372241620,Regular,128GB
iPhone 11 pro 64gb,2 100 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372234465,Regular,64GB
iPhone 11 Helt ny skjerm!,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372231297,Regular,Unknown
Pent bruk iPhone 11 128GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372224241,Regular,128GB
iPhone 11 i lilla 64gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372229341,Regular,64GB
iPhone 12,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372180758,Regular,Unknown
iPhone 12 64GB,2 190 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372200637,Regular,64GB
Brukt iPhone 11 128 GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372171551,Regular,128GB
